year,total_crimes,total_penal_crimes,total_life_and_health,murder,assault,total_sexual_offence,rape,total_theft_robbery,burglary_no_guns,burglary_home,vehicle_theft,theft_out_of_vehicle,theft_shop,theft_aggravated,fraud,criminal_damage,total_other_penal_crimes,narcotics,driving_under_influence,population
1950,195261,161778,8441,66,7382,2829,350,110660,20714,0,0,0,0,190,14653,5063,33483,5,3460,7041829
1951,232252,194753,8809,74,7718,3205,449,134324,24159,0,0,0,0,214,21907,5165,37499,9,4658,7098740
1952,225169,185787,8485,69,7378,2756,310,131530,26511,0,0,0,0,198,15485,5826,39382,24,5530,7150606
1953,208632,192851,8517,70,7557,3198,330,138365,25889,0,0,0,0,261,14994,6330,15781,17,6508,7192316
1954,218391,201317,9057,85,7753,2986,339,142909,28348,0,0,0,0,277,17005,7257,17074,27,7442,7234664
1955,243786,225231,9816,59,8605,3200,375,163723,33319,0,0,0,0,316,17111,8039,18555,35,9071,7290112
1956,255106,235153,9704,90,8496,2764,333,172849,34357,0,0,0,0,404,17137,9702,19953,17,11694,7338991
1957,277945,259176,9789,89,8542,2638,356,194060,42717,0,18062,0,0,452,18714,11425,18769,33,12026,7388611
1958,301135,280917,9440,69,8384,2969,427,213385,53645,0,20698,0,0,442,18849,12355,20218,52,12286,7429675
1959,300291,278004,9284,76,8224,3536,474,207998,53230,0,17722,0,0,455,18698,13333,22287,101,13490,7462823
1960,297874,276314,9823,73,8684,4045,512,204144,56302,0,18219,0,0,469,20144,13166,21560,146,12702,7497967
1961,308952,281752,9880,67,8742,3967,516,209426,56460,0,20968,0,0,491,19262,14876,27400,0,13329,7542028
1962,322316,293763,9735,64,8718,3675,516,219802,62002,0,23836,0,0,556,18927,15465,28800,0,12678,7581148
1963,339626,308850,10067,101,8988,3749,516,233135,66120,0,24987,0,0,607,20538,15419,30200,0,12592,7627507
1964,367649,336435,10514,78,9516,3890,590,255674,72530,0,26959,0,0,653,22554,18233,31700,0,14822,7695200
1965,448619,393660,12931,201,11689,3934,587,285691,80584,7648,30704,55431,9549,963,33307,22995,54959,737,16494,7772506
1966,473397,410904,14370,196,12997,3711,660,291698,80520,8163,27328,50033,13090,1066,41321,22393,62493,1051,17031,7843088
1967,505237,437042,14855,159,13610,3870,652,309945,85469,8535,30198,50266,16088,1034,43097,24721,68195,4043,18001,7892774
1968,567063,493926,18048,100,16789,3717,603,335469,97493,9045,31319,49673,23063,1192,63354,28815,73137,7959,15923,7931193
